scope,category,profile,legacy_api,canonical_name,variant,mean_cycles,zp_bytes,stack_page_reserved_bytes,source_path,source_sha256,validation_path,status,notes
shipped-profile,multiply,v3_reu_512k,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,,266.965600,17,0,v3_reu_512k/standalone/mul_u16_u16_u24_shr8.asm,ec2e2f1aad4502dc51f1b9f5f810dc67680e9fa637e1dec63086a959eec4ffc0,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,,266.965600,17,0,v4_reu_16m/standalone/mul_u16_u16_u24_shr8.asm,bbb968b259d05c93f3f4e49d7aeb1375bccd33b3ba5cf0f59e2452e3df67506a,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,,314.965600,17,0,v5_hybrid_lowzp/standalone/mul_u16_u16_u24_shr8.asm,a445a3b456a8871991c12661377dd0a6c069358840a828cf823e30fb47599cfe,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_UMUL16,mul_u16_u16_u32,,273.837200,17,0,v1_balanced/standalone/mul_u16_u16_u32.asm,c2cf48345f22ac211a0905573172d592d735bd0524f62b0ce2d3919ec4c08037,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_UMUL16,mul_u16_u16_u32,,225.837200,17,0,v2_pareto_fast/standalone/mul_u16_u16_u32.asm,17700fcd156dd9c0f98598989aa7ccf788ca6c74a93f23c2c8e7b56a57b45f14,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_UMUL16,mul_u16_u16_u32,,225.837200,17,0,v3_reu_512k/standalone/mul_u16_u16_u32.asm,417a60469319d2fd7f09b1c7b851cd78ebb689f77a6c205b5c17eb8e0d85f007,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_UMUL16,mul_u16_u16_u32,,225.837200,17,0,v4_reu_16m/standalone/mul_u16_u16_u32.asm,55acd7f874f46a7c6fea3c21dfa5d696bfcf5fd4fa9e810d79966906f7183b8b,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_UMUL16,mul_u16_u16_u32,,273.837200,17,0,v5_hybrid_lowzp/standalone/mul_u16_u16_u32.asm,84637ee31be1b1abd958d8a9facf31217e02a468824fbebf116d06bc91a138a4,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
standalone-alternative,multiply,,,mul_u16_u16_u32,shifted106,155.031478816876,106,0,routines/multiply/mul_u16_u16_u32_shifted106.asm,057b0714a2eae45175c406c28fe83518280b6b489b99b7dd986a5d585775f4d2,validation/records/UMUL16_SHIFTED_EXACT.json,qualified standalone,NMOS AXS/SBX required; writable ZP SMC
standalone-alternative,multiply,,,mul_u16_u16_u32,shifted116,154.417078787694,116,0,routines/multiply/mul_u16_u16_u32_shifted116.asm,80822328ce623abf9de63635f7fc25899e43ef2c211d967fe3cbabceaa22fede,validation/records/UMUL16_SHIFTED_EXACT.json,qualified standalone,NMOS AXS/SBX required; executable ZP SMC
standalone-alternative,multiply,,,mul_u16_u16_u32,shifted134,154.297827851260,134,0,routines/multiply/mul_u16_u16_u32_shifted134.asm,6e55bc8ce5687a82f683e4b4a797c7caf0e7918e7cc9eb9eb1dd4be81e418c35,validation/records/UMUL16_SHIFTED_EXACT.json,qualified standalone,NMOS AXS/SBX required; executable ZP SMC
